List of Crimes,No. of Cases
Abetment to Suicide of Women,5040
Miscarriage ,239
Acid Attacks ,105
Attempt To Acid Attacks ,33
Cruelty by Husband or His Family ,111549
All Types of Kidnapping and Abduction of Women,62300
Human Trafficking ,646
Selling of Minor Girls ,12
Buying of Minor Girls ,1
All Types of Rape ,28046
Attempt to Commit Rape ,3741
Assault to Women,85392
Insults to Women,7065
Dowry Prohibition Act 1961,10366
Immoral Traffic Act 1956/Prostitution,868
Protection of Women from Domestic Violence,446
Cyber Crimes,2334
Protection of Children from Sexual Offences ,46123
Indecent Representation of Women,12
